client_id,name,age_group,primary_goal,secondary_goal,experience_level,training_days_per_week,session_duration_min,equipment_type,location,sleep_hours,stress_level,nutrition_quality,injuries_limitations,schedule_consistency,program_name,program_type,rep_ranges,sets,rest_periods_sec,progression_type,cardio_included,special_considerations,exercises_primary,exercises_secondary,periodization,target_muscle_groups,training_frequency_type,program_duration_weeks,deload_frequency,intensity_level
1,Sarah,30-40,Weight Loss,Energy,Beginner,3,45,Dumbbells,Home,6-7,High,Average,None,Consistent,Efficient Fat Loss Circuit,Circuit,12-15,3-5,15-30,Volume,High,"High stress, time efficient","Goblet squats, DB chest press, bent rows","Overhead press, lunges, plank",Linear,Full Body,Full Body,8,4,Moderate
2,Mike,25-35,Strength,Athletic Performance,Intermediate,4,60,Full Gym,Commercial Gym,7-8,Low,Good,None,Consistent,Strength Rebuild Protocol,Upper/Lower,5-8,3-4,180-300,Linear with Deloads,Low,"Former athlete, good recovery","Squat, deadlift, bench press","Rows, accessories",Block,Full Body,Upper/Lower Split,12,4,High
3,Emma,18-25,General Fitness,Social,Novice,2,30,Bodyweight,Home/Dorm,6-7,Moderate,Average,None,Variable,Flexible Foundation,Circuit,20-30 sec,3,10,Time-based,High,"Irregular schedule, student","Push-ups, squats, planks","Jumping jacks, burpees",Linear,Full Body,Full Body,8,None,Low-Moderate
4,Robert,60+,Health/Mobility,Injury Prevention,Beginner,3,45,Machines,Basic Gym,7-8,Low,Good,Joint concerns,Consistent,Active Aging Strength,Machine Circuit,12-15,2-3,60-90,Conservative,"Low, steady state","Joint-friendly, 10min warmup","Leg press, chest press, lat pulldown","Shoulder press, leg curls",Linear,Full Body,Full Body,12,6,Low
5,Jessica,25-35,Get Back in Shape,Energy,Previous Experience,3,30,Basic Home,Home,Less than 6,High,Average,Postpartum,Variable,Postpartum Comeback,Modified Full Body,12-20,2-3,30-60,Very Gradual,Low,"Sleep deprived, core recovery","Modified planks, wall sits, band rows","Bodyweight squats, stretches",Linear,Core Focus,Full Body,16,None,Low
6,David,25-35,Max Strength,Competition,Advanced,5,90,Powerlifting Gym,Specialized Gym,8+,Low,Excellent,None,Consistent,Competition Prep Cycle,Powerlifting Split,1-5,5-8,300-600,Percentage-based,None,"Competition prep, RPE","Squat, bench, deadlift","Competition accessories",Block Periodization,Powerlifting Focus,Specialized,12,3,Very High
7,Maria,35-45,Weight Loss,Confidence,Complete Beginner,4,45,Planet Fitness,Commercial Gym,7-8,Moderate,Average,None,Consistent,Sustainable Transformation,Upper/Lower,12-15,2-3,60-90,Progressive,High,"50+ lbs to lose, high motivation","Machine exercises, compound movements","Cardio post-workout",Linear,Full Body,Upper/Lower Split,16,8,Moderate
8,Alex,18-25,Build Muscle Mass,Strength,Beginner,4,60,Home Gym,Home,8+,Low,Excellent,None,Consistent,Mass Building Foundation,Push/Pull/Legs,8-12,3-4,120-180,Weekly Increases,Low,"Skinny guy, good appetite","Squats, deadlifts, bench press","Rows, accessories",Linear,Full Body,Push/Pull/Legs,12,5,High
9,Linda,50-60,Joint Health,Pain Management,Some Experience,3,45,Pool + Light Weights,Multiple,7-8,Moderate,Good,Arthritis,Consistent,Joint-Friendly Strength,Alternating,15-20,2-3,60-90,Time Under Tension,Aqua,"Joint limitations, anti-inflammatory","Water resistance, light weights","Range of motion exercises",Linear,Joint-Specific,Alternating,Ongoing,None,Low
10,Carlos,16-25,Sport Performance,Injury Prevention,Intermediate,4,75,Full Gym + Field,Multiple,8+,Low,Good,None,Consistent,Soccer Performance Enhancement,Sport-Specific,Varies,3-4,Varies,Periodized,Sport-Specific,"In-season, unilateral focus","Single-leg squats, plyometrics","Agility, sprint mechanics",Block,Sport-Specific,Mixed,12,4,High
11,Rachel,35-45,Stress Relief,Fitness,Intermediate,3,45,Corporate Gym,Work,6-7,High,Good,None,Consistent,Executive Wellness,Full Body,8-12,3,120-180,Moderate,Low,"High stress, early morning","Deadlifts, push-ups, rows","Squats, mobility work",Linear,Full Body,Full Body,8,None,Moderate
